order_number,sku,product_name,quantity,unit_price,total_price,order_date,platform_fee
SHP-20260416-001,AQU-600-001,Aqua 600ml,6,4500,27000,2026-04-16,4050
SHP-20260416-002,IDM-GRG-001,Indomie Mi Goreng - Single Pack,15,3000,45000,2026-04-16,6750
SHP-20260416-003,KPA-SPL-380,Kapal Api Special 380g,2,35000,70000,2026-04-16,10500
SHP-20260416-004,TPH-350-001,Teh Pucuk Harum 350ml,10,4000,40000,2026-04-16,6000
SHP-20260416-005,LFB-BW-400T,Lifebuoy Body Wash 400ml - Total,3,32000,96000,2026-04-16,14400
SHP-20260416-006,SKL-LQ-1600,So Klin Liquid 1600ml Refill,2,34000,68000,2026-04-16,10200
SHP-20260416-007,ROM-KLP-300,Roma Kelapa 300g,6,12500,75000,2026-04-16,11250
SHP-20260416-008,BMI-MG-002L,Bimoli Minyak Goreng 2L,3,42000,126000,2026-04-16,18900
SHP-20260416-009,AQU-1500-01,Aqua 1500ml,8,7500,60000,2026-04-16,9000
SHP-20260416-010,ULT-FC-0250,Ultra Milk Full Cream 250ml,10,6500,65000,2026-04-16,9750
SHP-20260416-011,IDM-GRG-040,Indomie Mi Goreng - Box (40 pcs),1,110000,110000,2026-04-16,16500
SHP-20260416-012,BRS-PW-025K,Beras Pandan Wangi 25kg,1,350000,350000,2026-04-16,52500
