no_pesanan,sku,nama_produk,jumlah,harga_satuan,total_harga,tanggal
TKP-20260416-001,IDM-GRG-001,Indomie Mi Goreng - Single Pack,5,3000,15000,2026-04-16
TKP-20260416-002,AQU-600-001,Aqua 600ml,10,4500,45000,2026-04-16
TKP-20260416-003,KPA-SPL-165,Kapal Api Special 165g,3,17500,52500,2026-04-16
TKP-20260416-004,ULT-FC-0250,Ultra Milk Full Cream 250ml,12,6500,78000,2026-04-16
TKP-20260416-005,TPH-350-001,Teh Pucuk Harum 350ml,20,4000,80000,2026-04-16
TKP-20260416-006,ROM-KLP-300,Roma Kelapa 300g,4,12500,50000,2026-04-16
TKP-20260416-007,IDM-GRG-001,Indomie Mi Goreng - Single Pack,10,3000,30000,2026-04-16
TKP-20260416-008,LFB-BW-400C,Lifebuoy Body Wash 400ml - Cool,2,32000,64000,2026-04-16
TKP-20260416-009,AQU-330-001,Aqua 330ml,24,3500,84000,2026-04-16
TKP-20260416-010,SKL-LQ-0800,So Klin Liquid 800ml,3,19500,58500,2026-04-16
TKP-20260416-011,BRS-PW-005K,Beras Pandan Wangi 5kg,2,75000,150000,2026-04-16
TKP-20260416-012,BMI-MG-001L,Bimoli Minyak Goreng 1L,5,22000,110000,2026-04-16
TKP-20260416-013,TPH-480-001,Teh Pucuk Harum 480ml,8,5500,44000,2026-04-16
TKP-20260416-014,ULT-FC-1000,Ultra Milk Full Cream 1000ml,4,19500,78000,2026-04-16
TKP-20260416-015,IDM-GRG-040,Indomie Mi Goreng - Box (40 pcs),2,110000,220000,2026-04-16
